,code,class,name,market_cap,reg_day,per
765,A520009,kospi,미래에셋 레버리지 원유선물혼합 ETN(H),1576,-,-
766,A530071,kospi,삼성 인버스 2X 나스닥 100 ETN(H),406,-,-
767,A570044,kospi,TRUE 인버스 2X 나스닥 100 ETN,592,-,-
768,A243870,,굿센,208,20161031,-
769,A580014,kospi,KB 인버스 2X 나스닥 100 ETN,83,-,-
770,A530031,kospi,삼성 레버리지 WTI원유 선물 ETN,3251,-,-
771,A550042,kospi,QV 레버리지 WTI원유 선물 ETN(H),214,-,-
772,A510010,kospi,대신 인버스 2X 니켈선물 ETN(H),106,-,-
773,A327610,,펨토바이오메드,744,20190710,-
774,A219390,kospi,KBSTAR 미국S&P원유생산기업(합성 H),541,-,-
775,A278990,,이엠비,204,20171031,-
776,A221800,,유투바이오,179,20150629,-
777,A217880,,틸론,240,20150528,-
778,A140660,,위월드,45,20131226,-
779,A570045,kospi,TRUE 레버리지 천연가스 선물 ETN(H),372,-,-
780,A266870,,파워풀엑스,62,20170424,-
781,A500053,kospi,신한 레버리지 천연가스 선물 ETN,757,-,-
782,A271850,,다이오진,71,20170619,-
783,A530068,kospi,삼성 레버리지 천연가스 선물 ETN B,680,-,-
784,A322190,,에이스캠퍼,88,20201229,-
785,A215050,,비엔디생활건강,32,20150330,-
786,A217320,,썬테크,64,20150429,-
787,A121060,,유니포인트,90,20141024,-
